"generation","variant","count","S"
4043,4859,4,"0"
4043,4878,137,"0"
4043,4975,95,"0"
4043,5027,46,"0"
4043,5028,23,"0"
4043,5075,43,"0"
4043,5097,13,"0"
4043,5103,3,"0"
4043,5106,1,"0"
4043,5110,9,"0"
4043,5111,2,"0"
4043,5113,5,"0"
4043,5115,1,"0"
4043,5116,1,"0"
4044,3598,60,"0"
4044,4268,156,"0"
4044,4583,59,"0"
4044,4740,77,"0"
4044,4838,281,"0"
4044,4859,6,"0"
4044,4878,151,"0"
4044,4975,85,"0"
4044,5027,32,"0"
4044,5028,25,"0"
4044,5075,45,"0"
4044,5097,9,"0"
4044,5103,4,"0"
4044,5106,2,"0"
4044,5110,4,"0"
4044,5111,1,"0"
4044,5113,2,"0"
4044,5115,1,"0"
4045,3598,60,"0"
4045,4268,158,"0"
4045,4583,53,"0"
4045,4740,68,"0"
4045,4838,257,"0"
4045,4859,12,"0"
4045,4878,165,"0"
4045,4975,83,"0"
4045,5027,37,"0"
4045,5028,32,"0"
4045,5075,51,"0"
4045,5097,12,"0"
4045,5103,3,"0"
4045,5106,1,"0"
4045,5110,4,"0"
4045,5113,1,"0"
4045,5115,2,"0"
4045,5117,1,"0"
4046,3598,76,"0"
4046,4268,154,"0"
4046,4583,52,"0"
4046,4740,57,"0"
4046,4838,272,"0"
4046,4859,11,"0"
4046,4878,168,"0"
4046,4975,82,"0"
4046,5027,38,"0"
4046,5028,24,"0"
4046,5075,48,"0"
4046,5097,7,"0"
4046,5103,2,"0"
4046,5106,2,"0"
4046,5110,3,"0"
4046,5113,1,"0"
4046,5115,2,"0"
4046,5117,1,"0"
4047,3598,73,"0"
4047,4268,132,"0"
4047,4583,53,"0"
4047,4740,58,"0"
4047,4838,293,"0"
4047,4859,10,"0"
4047,4878,169,"0"
4047,4975,88,"0"
4047,5027,35,"0"
4047,5028,23,"0"
4047,5075,46,"0"
4047,5097,9,"0"
4047,5103,2,"0"
4047,5106,1,"0"
4047,5110,3,"0"
4047,5115,1,"0"
4047,5117,1,"0"
4047,5118,1,"0"
4047,5119,1,"0"
4047,5120,1,"0"
4048,3598,72,"0"
4048,4268,151,"0"
4048,4583,56,"0"
4048,4740,52,"0"
4048,4838,295,"0"
4048,4859,13,"0"
4048,4878,164,"0"
