,added,killed
1399,882,941
1400,71,882
1401,558,893
1402,204,350
1403,398,942
1404,654,160
1405,206,945
1406,325,247
1407,452,998
1408,71,372
1409,297,30
1410,638,714
1411,660,329
1412,282,677
1413,492,48
1414,490,697
1415,612,916
1416,660,407
1417,160,702
1418,160,125
1419,887,916
1420,785,642
1421,714,885
1422,591,321
1423,841,160
1424,324,916
1425,797,664
1426,948,647
1427,226,812
1428,714,544
1429,643,495
1430,971,303
1431,417,627
1432,71,329
1433,999,622
1434,558,484
1435,105,81
1436,234,459
1437,315,507
1438,562,39
1439,627,396
1440,64,406
1441,961,660
1442,12,206
1443,55,37
1444,881,190
1445,723,176
1446,318,684
1447,902,726
1448,183,392
1449,727,81
1450,125,798
1451,859,311
1452,451,800
1453,120,678
1454,865,961
1455,798,407
1456,745,881
1457,357,971
1458,895,908
1459,797,593
1460,665,71
1461,867,304
1462,572,798
1463,761,451
1464,242,445
1465,230,988
1466,372,983
1467,906,140
1468,956,934
1469,667,301
1470,657,961
1471,270,308
1472,855,793
1473,942,383
1474,460,308
1475,716,753
1476,710,654
1477,899,564
1478,693,708
1479,184,326
1480,77,983
1481,429,238
1482,296,956
1483,889,899
1484,83,318
1485,942,515
1486,71,267
1487,716,315
1488,202,785
1489,458,763
1490,435,299
1491,893,578
1492,642,932
1493,785,884
1494,293,325
1495,653,315
1496,569,735
1497,93,948
1498,233,947
1499,75,429
1500,899,653
1501,903,950
1502,721,302
1503,678,753
1504,10,12
1505,144,474
1506,206,267
1507,154,797
1508,882,148
1509,247,293
1510,961,755
1511,621,429
1512,546,495
1513,660,983
1514,182,12
1515,173,509
1516,71,652
1517,908,977
1518,48,916
1519,172,745
1520,398,911
1521,849,504
1522,292,797
1523,723,647
1524,183,572
1525,764,745
1526,948,988
1527,658,296
1528,785,657
1529,157,297
1530,158,762
1531,512,652
1532,817,991
1533,519,956
1534,861,490
1535,991,55
1536,76,517
1537,627,458
1538,458,468
1539,104,152
1540,226,723
1541,173,785
1542,354,183
1543,861,132
1544,206,724
1545,621,785
1546,253,942
1547,68,888
1548,909,697
1549,653,544
1550,427,250
1551,113,709
1552,492,653
1553,717,68
1554,113,297
1555,509,532
1556,764,160
1557,234,494
1558,350,885
1559,558,315
1560,652,429
1561,887,113
1562,867,329
1563,965,247
1564,324,797
1565,27,785
1566,208,315
1567,764,271
1568,326,55
