,added,killed
1690,485,941
1691,706,517
1692,90,913
1693,219,241
1694,11,134
1695,313,548
1696,478,671
1697,956,727
1698,459,990
1699,188,157
1700,520,491
1701,753,739
1702,120,811
1703,311,432
1704,723,426
1705,449,379
1706,641,638
1707,394,607
1708,777,550
1709,864,532
1710,255,990
1711,390,872
1712,201,380
1713,244,11
1714,243,753
1715,305,830
1716,158,751
1717,446,194
1718,161,921
1719,164,61
1720,190,22
1721,781,668
1722,824,461
1723,671,295
1724,311,864
1725,517,326
1726,782,155
1727,708,379
1728,227,416
1729,992,267
1730,578,190
1731,201,216
1732,106,367
1733,32,81
1734,379,538
1735,129,751
1736,200,219
1737,723,457
1738,770,880
1739,558,869
1740,727,190
1741,305,227
1742,578,164
1743,449,126
1744,921,273
1745,814,952
1746,550,507
1747,22,980
1748,394,255
1749,161,563
1750,643,296
1751,313,723
1752,404,828
1753,444,98
1754,227,802
1755,543,952
1756,255,305
1757,174,578
1758,379,914
1759,630,864
1760,313,35
1761,446,421
1762,485,158
1763,907,914
1764,174,568
1765,845,164
1766,454,955
1767,134,380
1768,751,753
1769,380,795
1770,581,848
1771,731,706
1772,380,503
1773,700,809
1774,402,113
1775,499,907
1776,334,366
1777,201,22
1778,499,134
1779,22,201
1780,848,634
1781,379,402
1782,461,188
1783,956,155
1784,818,624
1785,200,704
1786,4,98
1787,200,995
1788,404,809
1789,227,311
1790,657,563
1791,731,234
1792,80,502
1793,646,126
1794,454,126
1795,295,35
1796,114,294
1797,731,234
1798,578,818
1799,249,878
1800,981,314
1801,854,245
1802,314,206
1803,486,725
1804,4,345
1805,585,478
1806,547,547
1807,872,825
1808,349,304
1809,446,520
1810,201,90
1811,537,907
1812,444,803
1813,304,558
1814,334,897
1815,201,219
1816,585,459
1817,35,692
1818,254,708
1819,593,848
1820,201,502
1821,379,563
1822,499,431
1823,379,818
1824,394,181
1825,105,89
1826,201,161
1827,313,923
1828,379,243
1829,960,923
1830,578,273
1831,692,723
1832,9,521
1833,32,446
1834,311,579
1835,952,74
1836,254,643
1837,723,753
1838,723,301
1839,795,334
1840,486,126
1841,40,305
1842,952,399
1843,462,818
1844,298,80
1845,995,219
1846,538,240
1847,243,444
1848,161,872
1849,303,809
1850,670,548
1851,176,706
1852,201,334
1853,133,359
1854,593,32
1855,106,879
1856,359,56
1857,342,126
1858,136,98
1859,326,402
1860,103,311
1861,201,579
1862,176,824
1863,314,142
1864,507,797
1865,459,643
1866,723,254
1867,864,593
1868,220,150
1869,9,311
1870,706,461
1871,103,542
1872,255,558
1873,999,486
1874,398,537
1875,330,330
1876,514,22
1877,304,120
1878,444,201
1879,200,999
1880,254,254
1881,460,882
1882,200,444
1883,344,995
1884,349,136
1885,364,845
1886,35,723
1887,157,739
1888,563,404
1889,157,446
1890,65,780
1891,106,134
1892,780,380
1893,460,419
1894,929,248
1895,923,216
1896,543,126
1897,187,364
1898,630,161
1899,576,537
1900,248,330
1901,624,929
1902,563,200
1903,349,809
1904,662,898
1905,923,311
1906,898,255
1907,662,459
1908,708,681
1909,176,40
1910,188,81
1911,243,60
1912,601,220
1913,303,454
1914,992,254
1915,458,201
1916,941,9
1917,379,864
1918,795,458
1919,601,314
1920,956,179
1921,952,656
1922,933,249
1923,359,578
1924,342,174
1925,692,593
1926,514,174
1927,781,641
1928,921,35
1929,542,739
1930,394,121
1931,585,444
1932,227,814
1933,956,548
1934,106,227
1935,227,817
1936,700,364
1937,563,304
1938,581,32
1939,548,514
1940,443,460
1941,394,398
1942,85,35
1943,85,296
1944,296,550
